timestamp,open,high,low,close,volume
1739662080,97612,97612,97612,97612,0.00064219
1739662140,97612,97612,97612,97612,0.00792
1739662200,97622,97622,97622,97622,0.38761311
1739662260,97622,97622,97622,97622,3.33098721
1739662320,97622,97622,97622,97622,0.02605
1739662380,97622,97633,97622,97633,3.44665769
1739662440,97633,97633,97632,97633,0.00581868
1739662500,97633,97633,97632,97632,0.01033744
1739662560,97633,97633,97633,97633,0.45673576
1739662620,97645,97645,97644,97644,0.00427872
1739662680,97644,97644,97642,97642,0.03467188
1739662740,97644,97644,97622,97622,0.01942179
1739662800,97622,97622,97622,97622,1.014e-05
1739662860,97625,97626,97625,97626,0.00136
1739662920,97626,97633,97621,97621,0.04943844
1739662980,97601,97614,97598,97600,0.96948986
1739663040,97579,97579,97578,97578,0.00656
1739663100,97578,97578,97563,97563,0.02992323
1739663160,97563,97563,97563,97563,0.0
1739663220,97552,97556,97552,97556,0.00812125
1739663280,97564,97586,97564,97586,0.00571
1739663340,97591,97591,97578,97584,0.03696235
1739663400,97563,97563,97555,97555,0.0102395
1739663460,97543,97543,97538,97539,0.22504518
1739663520,97543,97569,97542,97569,0.00372885
1739663580,97572,97581,97572,97579,0.00208511
1739663640,97579,97583,97579,97582,0.00244855
1739663700,97582,97582,97582,97582,0.00049938
1739663760,97579,97594,97569,97594,0.00627776
1739663820,97605,97605,97547,97553,0.03235031
1739663880,97584,97593,97584,97593,0.26233235
1739663940,97592,97597,97589,97591,0.00447524
1739664000,97591,97611,97591,97605,0.01840883
1739664060,97603,97605,97585,97585,0.01891496
1739664120,97582,97585,97581,97585,0.25591973
1739664180,97610,97610,97610,97610,0.00039
1739664240,97630,97632,97627,97630,0.03225713
1739664300,97632,97645,97632,97645,0.01316
1739664360,97643,97643,97642,97642,0.00794489
1739664420,97641,97642,97627,97631,0.39973829
1739664480,97629,97629,97629,97629,0.00405196
1739664540,97629,97629,97595,97596,0.06823629
1739664600,97596,97609,97596,97609,0.01306665
1739664660,97609,97619,97609,97617,0.27882225
1739664720,97619,97620,97616,97620,0.00949
1739664780,97621,97623,97621,97623,0.00343
1739664840,97635,97645,97635,97645,0.0895621
1739664900,97642,97644,97642,97644,0.00606
1739664960,97644,97704,97644,97704,3.36422501
1739665020,97704,97715,97704,97715,0.87325165
1739665080,97714,97714,97704,97713,0.02141556
1739665140,97715,97715,97700,97703,0.28821523
1739665200,97691,97704,97675,97704,0.02439268
1739665260,97699,97699,97699,97699,3.049e-05
1739665320,97698,97698,97684,97693,0.12492283
1739665380,97691,97708,97691,97703,0.01219
1739665440,97702,97702,97674,97674,0.076186
1739665500,97668,97686,97668,97681,0.00328691
1739665560,97678,97678,97678,97678,0.03027039
1739665620,97678,97702,97678,97696,0.05883542
1739665680,97699,97699,97699,97699,0.01199302
1739665740,97707,97707,97702,97703,0.01792247
1739665800,97698,97698,97656,97692,0.04554652
